countries,Length of Lockdown,Population Density,GDP Per Capita,HDI,Tests/1 million,Democracy Index,Cases Per /1M,Deaths/M,Continent,Population,Mask Mandate implementation
Afghanistan,0,56.94,469.9190901,0.496,5995,28.5,1384,60,Asia,39415253,0
Albania,80,104.61,5303.197823,0.791,112438,58.9,24567,453,Europe,2876025,0
Algeria,0,17.73,3975.510381,0.759,NA,40.1,2373,64,Africa,44292186,82
Andorra,0,163.84,40887.42165,0.857,2328674,0,121756,1203,Europe,77335,0
Angola,0,24.71,2670.850732,0.574,5208,37.2,576,14,Africa,33430593,48
Antigua and Barbuda,0,235.48,17112.82113,0.776,83347,0,1982,61,North America,98384,0
Argentina,52,16.16,10041.4633,0.83,127820,70.2,40808,1025,South America,45428197,48
Armenia,41,99.44,4622.733216,0.76,213273,55.4,55863,1021,Asia,2966361,0
Australia,52,3.00,54763.20239,0.938,492581,90.9,1120,35,Oceania,25665434,0
Austria,98,106.14,49700.76183,0.914,459984,82.9,44480,811,Europe,9035260,28
Azerbaijan,152,116.25,4781.946215,0.754,230408,27.5,22426,301,Asia,10190399,61
Bahamas,0,27.75,34863.7421,0.805,145401,0,20491,443,North America,395349,0
Bahrain,0,1982.91,23503.97713,0.838,1503508,25.5,57210,211,Asia,1734135,44
Bangladesh,51,1181.00,1846.416377,0.614,21317,58.8,3206,48,Asia,165608438,98
Barbados,36,667.50,18148.95851,0.813,323640,0,4020,31,North America,287573,0
Belarus,0,45.59,6673.531291,0.817,458373,24.8,24780,172,Europe,9447571,0
Belgium,89,375.73,46198.31032,0.919,669070,76.4,59118,1775,Europe,11617976,91
Belize,0,17.79,4815.171852,0.72,166621,0,29130,722,North America,401649,0
Benin,0,104.18,1220.492825,0.52,33180,50.9,296,4,Africa,12299096,0
Bhutan,163,21.75,3360.617194,0.617,530464,53,1096,1,Asia,776364,0
Bolivia,131,10.29,3552.06876,0.703,42892,48.4,16697,835,South America,11761996,0
Bosnia and Herzegovina,0,68.57,6108.558032,0.769,176185,48.6,36528,1393,Europe,3269277,0
Botswana,28,3.96,7961.365304,0.728,258172,78.1,8265,44,Africa,2378041,0
Brazil,0,25.00,8755.271208,0.761,134016,68.6,41025,1009,South America,213407310,0
Brunei,0,73.08,31086.3292,0.845,202155,0,398,7,Asia,439826,0
Bulgaria,159,62.62,9703.487814,0.816,189488,70.3,30992,1272,Europe,6918840,22
Burkina Faso,0,74.77,786.8956136,0.434,NA,40.4,465,5,Africa,21220502,0
Burundi,0,403.21,260.3815634,0.423,7448,21.5,114,0.2,Africa,12086450,0
Cabo Verde,0,136.49,3603.782576,0.665,199135,77.8,23922,218,Africa,559368,0
Cambodia,0,89.98,1643.641451,0.581,22558,35.3,27,0,Asia,16848241,0
Cameroon,0,52.24,1501.808291,0.563,5537,28.5,1041,17,Africa,26912236,39
Canada,0,4.00,46550.33551,0.922,448128,92.2,19442,496,North America,37927656,0
CAR,0,7.61,467.9072464,0.381,7284,13.2,1020,13,Africa,4876571,0
Chad,0,11.96,706.8258328,0.401,NA,16.1,186,7,Africa,16686487,0
Chile,0,22.98,14896.45387,0.847,391912,80.8,35926,926,South America,19208197,35
China,0,146.00,10003.555,0.758,111163,22.6,62,3,Asia,1439323776,0
Colombia,97,41.00,6432.387583,0.761,185704,71.3,38827,988,South America,51186541,28
Congo,20,15.79,2304.126508,0.608,13073,31.1,1393,21,Africa,5593408,0
Costa Rica,304,98.98,12238.37505,0.794,110766,81.3,36973,492,North America,5120188,111
Croatia,49,72.30,14627.29471,0.837,279842,65.7,55725,1166,Europe,4090949,139
Cuba,0,101.87,9295.901636,0.778,153513,28.4,1772,17,North America,11322718,20
Cyprus,41,148.56,28284.90763,0.873,780186,75.9,24547,148,Europe,1212291,0
Czechia,39,135.43,23451.73572,0.891,532701,76.9,86280,1419,Europe,10720166,16
Denmark,56,134.91,60656.93852,0.93,2142046,92.2,33261,334,Europe,5803674,177
Djibouti,0,46.89,3252.320409,0.495,106071,27.7,5941,61,Africa,996024,0
Dominica,0,97.17,8110.516934,0.742,119855,0,1568,0,North America,72087,0
Dominican Republic,0,216.36,8282.123087,0.745,90664,65.4,18439,229,North America,10908841,47
DRC,0,37.01,545.2162053,0.459,NA,11.3,237,7,Africa,91065119,50
Ecuador,15,64.00,6183.823825,0.758,46956,63.3,13329,818,South America,17792602,38
Egypt,0,101.00,3161.324684,0.7,9670,30.6,1552,86,Africa,103409102,71
El Salvador,21,318.67,4187.250031,0.667,103780,61.5,8098,237,North America,6504594,0
Equatorial Guinea,0,48.42,8130.407178,0.588,58940,19.2,3781,60,Africa,1428395,0
Eritrea,21,28.88,566.7116794,0.434,6630,23.7,543,2,Africa,3573844,0
Estonia,0,29.22,23740.1638,0.882,551274,79,29914,270,Europe,1327038,0
Eswatini,0,66.76,4001.578285,0.611,105320,31.4,12185,392,Africa,1166891,0
Ethiopia,0,101.10,827.5443326,0.47,16376,34.4,1140,18,Africa,116542610,28
Fiji,0,48.27,6185.100338,0.724,27269,58.5,61,2,Oceania,900090,0
Finland,0,16.33,48678.36521,0.925,486826,92.5,7558,116,Europe,5545566,0
France,100,123.38,40318.75274,0.891,630804,81.2,46076,1112,Europe,65354806,106
Gabon,0,7.72,7773.19892,0.702,187190,36.1,4558,30,Africa,2254879,0
