Country,Mask Mandate in Days,Cases/ 1M,Deaths/ 1M,Date of Mask Mandate
Algeria,82,2373,64,43969
Angola,48,576,14,43960
Argentina,48,40808,1025,43941
Austria,28,44480,811,43915
Azerbaijan,61,22426,301,43952
Bahrain,44,57210,211,43930
Bangladesh,98,3206,48,43997
Belgium,91,59118,1775,43957
Bulgaria,22,30992,1272,43920
Cameroon,39,1041,17,43935
Chile,35,35926,926,43929
Colombia,28,38827,988,43925
Costa Rica,111,36973,492,44009
Croatia,139,55725,1166,44026
Cuba,20,1772,17,43923
Czechia,16,86280,1419,43908
Denmark,177,33261,334,44065
Dominican Republic,47,18439,229,43939
DRC,50,237,7,43951
Ecuador,38,13329,818,43929
Egypt,71,1552,86,43947
Ethiopia,28,1140,18,43932
France,106,46076,1112,43962
Germany,91,25320,620,43948
Ghana,40,1892,11,43944
Greece,60,14531,539,43948
Guatemala,28,8451,299,43933
Indonesia,34,3508,100,43926
Iraq,55,15030,319,43941
Israel,41,64042,464,43922
Italy,95,40420,1402,43955
Kazakhstan,78,9197,127,43983
Kenya,22,1833,32,43926
Kuwait,78,37244,221,43963
Latvia,66,31790,574,43959
Lebanon,65,40020,324,43948
Lithuania,42,64742,959,43931
Luxembourg,49,78267,890,43941
Malaysia,188,5405,20,44044
Mexico,81,13195,1127,43971
Morocco,35,12511,218,43928
Myanmar,50,2501,55,43964
Netherlands,94,54711,782,43983
Nigeria,60,565,7,43949
Oman,68,25583,293,43954
Pakistan,94,2369,50,43982
Panama,28,70714,1144,43928
Paraguay,42,17597,360,43941
Peru,31,32746,1187,43928
Philippines,63,4619,92,43923
Poland,43,38721,923,43937
Portugal,62,59837,974,43955
Qatar,52,52896,88,43943
Romania,78,36863,920,43966
Saudi Arabia,88,10422,181,43981
Serbia,54,43683,442,43950
Singapore,82,10083,5,43935
Slovakia,18,42670,713,43915
Slovenia,24,74913,1592,43919
South Africa,56,23316,671,43952
Spain,91,55671,1186,43953
Sri Lanka,74,2649,13,43932
Switzerland,246,58604,1040,44133
Taiwan,0,37,0.3,43922
Thailand,64,187,1,43915
Tunisia,35,16258,512,43928
Turkey,22,28504,292,43924
UAE,90,27197,78,43949
UK,135,52638,1410,43997
Ukraine,35,27142,497,43928
Uruguay,38,10392,105,43944
Uzbekistan,6,2320,18,43912
Vietnam,52,16,0.4,43906
Zimbabwe,41,2037,64,43952
